,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,observed,expectation
81,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1,1,No,0.0,0.26578498293515357
82,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2,1,Yes,1.0,0.26578498293515357
83,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
84,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
85,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4,1,No,0.0,0.26578498293515357
86,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
87,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
88,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0,1,No,0.0,0.26578498293515357
89,Male,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,2,No,0.0,0.26578498293515357
90,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),3,3,No,0.0,0.26578498293515357
91,Male,1,No,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,2,0,No,0.0,0.26578498293515357
92,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,3,4,No,0.0,0.26578498293515357
93,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
94,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
95,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,1,Yes,1.0,0.26578498293515357
96,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),2,4,No,0.0,0.26578498293515357
97,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,Yes,1.0,0.26578498293515357
98,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
99,Female,1,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,Yes,1.0,0.26578498293515357
100,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
101,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0,0,No,0.0,0.26578498293515357
102,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),4,3,No,0.0,0.26578498293515357
103,Female,1,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
104,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4,4,Yes,1.0,0.26578498293515357
105,Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
106,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,4,4,No,0.0,0.26578498293515357
107,Female,0,No,No,2,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,1,1,No,0.0,0.26578498293515357
108,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,4,3,No,0.0,0.26578498293515357
109,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,2,No,0.0,0.26578498293515357
110,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,4,4,Yes,1.0,0.26578498293515357
111,Female,0,No,No,3,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),1,3,No,0.0,0.26578498293515357
112,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
113,Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,3,Yes,1.0,0.26578498293515357
114,Female,0,Yes,Yes,4,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,1,3,No,0.0,0.26578498293515357
115,Male,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,3,0,No,0.0,0.26578498293515357
116,Female,0,No,No,2,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),1,2,No,0.0,0.26578498293515357
117,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,2,Yes,1.0,0.26578498293515357
118,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,1,No,0.0,0.26578498293515357
119,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),3,3,No,0.0,0.26578498293515357
120,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
121,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
122,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,0,Yes,1.0,0.26578498293515357
123,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1,1,No,0.0,0.26578498293515357
124,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
125,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
126,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2,3,Yes,1.0,0.26578498293515357
127,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
128,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
129,Male,1,No,No,4,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1,3,No,0.0,0.26578498293515357
130,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,2,No,0.0,0.26578498293515357
131,Female,0,Yes,Yes,2,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,2,Yes,1.0,0.26578498293515357
132,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
133,Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
134,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,0,Yes,1.0,0.26578498293515357
135,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1,2,No,0.0,0.26578498293515357
136,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2,2,No,0.0,0.26578498293515357
137,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,2,No,0.0,0.26578498293515357
138,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0,2,No,0.0,0.26578498293515357
139,Female,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,2,0,Yes,1.0,0.26578498293515357
140,Female,1,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
141,Female,0,No,No,1,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,2,1,Yes,1.0,0.26578498293515357
142,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
143,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
144,Male,1,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
145,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
146,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
147,Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
148,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),2,2,No,0.0,0.26578498293515357
149,Male,0,Yes,Yes,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,2,2,No,0.0,0.26578498293515357
150,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,1,No,0.0,0.26578498293515357
151,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,4,1,Yes,1.0,0.26578498293515357
152,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
153,Male,0,Yes,Yes,4,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,3,4,No,0.0,0.26578498293515357
154,Female,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,No,0.0,0.26578498293515357
155,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3,2,No,0.0,0.26578498293515357
156,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3,2,No,0.0,0.26578498293515357
157,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,1,No,0.0,0.26578498293515357
158,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,2,2,No,0.0,0.26578498293515357
159,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1,0,No,0.0,0.26578498293515357
160,Female,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,1,No,0.0,0.26578498293515357
161,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,3,2,Yes,1.0,0.26578498293515357
162,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,0,No,0.0,0.26578498293515357
163,Male,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),2,3,No,0.0,0.26578498293515357
164,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,0,No,0.0,0.26578498293515357
165,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,2,No,0.0,0.26578498293515357
166,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2,1,Yes,1.0,0.26578498293515357
